PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,TICKER
27959,20140402,252,-0.58%,-0.0003,0.6299,-0.424,-0.224,0.69%,0.82%,27.72%,-0.72%,DUK
27959,20140403,252,0.27%,-0.0003,0.6298,-0.4285,-0.2176,0.70%,0.82%,27.69%,0.27%,DUK
27959,20140404,252,0.06%,-0.0003,0.6284,-0.4433,-0.2145,0.69%,0.82%,27.71%,0.65%,DUK
27959,20140407,252,0.92%,-0.0003,0.6096,-0.4456,-0.2264,0.70%,0.81%,26.45%,1.57%,DUK
27959,20140408,252,1.93%,-0.0002,0.6171,-0.4501,-0.236,0.71%,0.82%,26.55%,1.71%,DUK
27959,20140409,252,-0.95%,-0.0002,0.6022,-0.4361,-0.181,0.71%,0.83%,25.27%,-1.76%,DUK
27959,20140410,252,-0.32%,-0.0002,0.5872,-0.4321,-0.157,0.72%,0.82%,24.80%,0.87%,DUK
27959,20140411,252,0.35%,-0.0002,0.5809,-0.435,-0.1554,0.72%,0.82%,24.41%,0.84%,DUK
27959,20140414,252,0.32%,-0.0002,0.577,-0.4353,-0.1589,0.72%,0.82%,24.03%,-0.28%,DUK
27959,20140415,252,1.03%,-0.0002,0.5698,-0.439,-0.1594,0.72%,0.82%,23.54%,0.55%,DUK
27959,20140416,252,0.58%,-0.0002,0.5696,-0.4377,-0.1564,0.72%,0.82%,23.53%,-0.11%,DUK
27959,20140417,252,-0.90%,-0.0002,0.5749,-0.4507,-0.165,0.72%,0.82%,23.73%,-0.85%,DUK
27959,20140421,252,-0.15%,-0.0003,0.5673,-0.4473,-0.1626,0.71%,0.81%,23.29%,-0.33%,DUK
27959,20140422,252,0.46%,-0.0002,0.5693,-0.4458,-0.1688,0.71%,0.81%,23.37%,0.39%,DUK
27959,20140423,252,-0.25%,-0.0002,0.5701,-0.4431,-0.1703,0.71%,0.82%,23.38%,-0.21%,DUK
27959,20140424,252,0.62%,-0.0003,0.5738,-0.4656,-0.2117,0.71%,0.82%,23.77%,0.36%,DUK
27959,20140425,252,1.29%,-0.0002,0.5654,-0.4873,-0.1937,0.72%,0.82%,22.99%,1.57%,DUK
27959,20140428,252,1.08%,-0.0002,0.5681,-0.5066,-0.2172,0.72%,0.82%,23.35%,0.60%,DUK
27959,20140429,252,-0.36%,-0.0002,0.5631,-0.4979,-0.21,0.72%,0.82%,22.95%,-0.82%,DUK
27959,20140430,252,-0.05%,-0.0002,0.563,-0.4986,-0.2101,0.72%,0.82%,22.95%,-0.14%,DUK
27959,20140501,252,0.12%,-0.0002,0.5621,-0.5178,-0.2224,0.72%,0.82%,23.05%,-0.02%,DUK
27959,20140502,252,-2.31%,-0.0002,0.5693,-0.535,-0.2547,0.73%,0.83%,23.11%,-2.07%,DUK
27959,20140505,252,0.91%,-0.0002,0.5742,-0.5347,-0.2602,0.73%,0.84%,23.45%,0.54%,DUK
27959,20140506,252,-0.61%,-0.0001,0.5748,-0.5046,-0.1978,0.72%,0.83%,23.70%,-0.27%,DUK
27959,20140507,252,1.03%,-0.0002,0.5758,-0.5134,-0.1845,0.72%,0.82%,23.90%,0.56%,DUK
27959,20140508,252,-1.33%,-0.0002,0.5781,-0.4883,-0.1845,0.72%,0.83%,23.83%,-1.63%,DUK
27959,20140509,252,-1.18%,-0.0002,0.5765,-0.5009,-0.1876,0.72%,0.83%,23.78%,-1.05%,DUK
27959,20140512,252,-0.31%,-0.0002,0.5756,-0.5103,-0.1893,0.72%,0.83%,23.76%,-0.35%,DUK
27959,20140513,252,-0.06%,-0.0002,0.5738,-0.5023,-0.1903,0.72%,0.83%,23.72%,-0.53%,DUK
27959,20140514,252,0.46%,-0.0002,0.5744,-0.5076,-0.1949,0.72%,0.83%,23.71%,0.17%,DUK
27959,20140515,252,0.15%,-0.0002,0.5627,-0.4966,-0.2055,0.72%,0.82%,23.21%,0.79%,DUK
27959,20140516,252,-0.04%,-0.0001,0.5562,-0.4925,-0.2127,0.72%,0.82%,22.98%,-0.20%,DUK
27959,20140519,252,-1.47%,-0.0002,0.5543,-0.5114,-0.2259,0.72%,0.82%,22.64%,-1.43%,DUK
27959,20140520,252,-0.30%,-0.0002,0.5548,-0.5077,-0.2246,0.72%,0.82%,22.58%,-0.23%,DUK
27959,20140521,252,-0.23%,-0.0002,0.549,-0.5007,-0.2246,0.72%,0.82%,22.26%,-0.79%,DUK
27959,20140522,252,0.89%,-0.0001,0.5416,-0.5128,-0.2484,0.72%,0.82%,22.18%,0.95%,DUK
27959,20140523,252,-0.38%,-0.0001,0.5401,-0.5133,-0.247,0.72%,0.81%,22.03%,-0.39%,DUK
27959,20140527,252,0.26%,0,0.5383,-0.5051,-0.2422,0.72%,0.81%,22.01%,0.20%,DUK
27959,20140528,252,0.43%,0,0.5424,-0.4821,-0.2153,0.71%,0.80%,22.40%,0.38%,DUK
27959,20140529,252,0.24%,0,0.5386,-0.4796,-0.2043,0.71%,0.80%,22.18%,-0.17%,DUK
27959,20140530,252,0.21%,0,0.538,-0.4808,-0.2093,0.71%,0.80%,22.20%,-0.10%,DUK
27959,20140602,252,-0.32%,0,0.5408,-0.4789,-0.2118,0.71%,0.80%,21.93%,-0.61%,DUK
27959,20140603,252,-0.21%,0,0.5402,-0.4785,-0.2135,0.71%,0.80%,21.88%,-0.27%,DUK
27959,20140604,252,0.44%,0,0.5406,-0.4768,-0.2133,0.71%,0.80%,21.87%,0.38%,DUK
27959,20140605,252,1.01%,0,0.5427,-0.4486,-0.2031,0.71%,0.80%,21.38%,1.17%,DUK
27959,20140606,252,-0.54%,0,0.5377,-0.4557,-0.2124,0.71%,0.80%,21.12%,-0.62%,DUK
27959,20140609,252,-0.67%,0,0.5477,-0.4742,-0.2147,0.71%,0.80%,21.49%,-0.40%,DUK
27959,20140610,252,-0.49%,-0.0001,0.55,-0.4831,-0.2219,0.71%,0.80%,21.63%,-0.57%,DUK
27959,20140611,252,-1.25%,-0.0001,0.548,-0.4784,-0.22,0.71%,0.81%,21.24%,-1.18%,DUK
27959,20140612,252,1.36%,0,0.5302,-0.4603,-0.2068,0.72%,0.81%,19.75%,1.83%,DUK
27959,20140613,252,0.35%,0,0.5222,-0.4598,-0.2167,0.72%,0.80%,19.23%,0.13%,DUK
27959,20140616,252,0.41%,0,0.5228,-0.4561,-0.218,0.72%,0.80%,19.24%,0.41%,DUK
27959,20140617,252,-0.58%,0,0.5258,-0.4652,-0.2273,0.72%,0.80%,19.43%,-0.41%,DUK
27959,20140618,252,2.40%,0,0.5372,-0.4888,-0.2416,0.73%,0.82%,19.96%,1.86%,DUK
27959,20140619,252,1.13%,0.0002,0.5189,-0.4748,-0.2339,0.73%,0.81%,18.70%,0.99%,DUK
27959,20140620,252,-1.24%,0.0002,0.4912,-0.4595,-0.2225,0.73%,0.80%,16.21%,-1.24%,DUK
27959,20140623,252,0.04%,0.0001,0.4918,-0.4618,-0.2221,0.73%,0.79%,16.31%,-0.04%,DUK
27959,20140624,252,0.01%,0.0001,0.4947,-0.4633,-0.217,0.73%,0.79%,16.31%,0.16%,DUK
27959,20140625,252,0.94%,0.0001,0.4906,-0.4599,-0.231,0.73%,0.79%,16.09%,0.87%,DUK
27959,20140626,252,0.18%,0.0001,0.4713,-0.4235,-0.2091,0.72%,0.78%,14.78%,0.20%,DUK
27959,20140627,252,0.72%,0.0001,0.4706,-0.4157,-0.2092,0.72%,0.78%,14.65%,0.76%,DUK
27959,20140630,252,0.66%,0.0002,0.4706,-0.4111,-0.2015,0.72%,0.78%,14.51%,0.78%,DUK
27959,20140701,252,-0.75%,0.0002,0.4683,-0.3986,-0.1853,0.72%,0.78%,14.31%,-0.98%,DUK
27959,20140702,252,-1.92%,0.0001,0.4659,-0.3716,-0.1581,0.74%,0.79%,13.64%,-2.12%,DUK
27959,20140703,252,-1.15%,0,0.4611,-0.3768,-0.1649,0.74%,0.80%,13.32%,-1.33%,DUK
27959,20140707,252,0.27%,0,0.4653,-0.3757,-0.1538,0.74%,0.80%,13.46%,0.14%,DUK
27959,20140708,252,1.03%,0.0001,0.4566,-0.3753,-0.1283,0.74%,0.80%,12.86%,1.27%,DUK
27959,20140709,252,-0.29%,0,0.45,-0.3668,-0.1264,0.74%,0.80%,12.54%,-0.66%,DUK
27959,20140710,252,0.39%,0,0.4509,-0.3741,-0.1226,0.74%,0.80%,12.61%,0.39%,DUK
27959,20140711,252,-0.32%,0,0.4334,-0.3461,-0.0795,0.74%,0.79%,11.52%,-0.50%,DUK
27959,20140714,252,-0.86%,-0.0001,0.4286,-0.3421,-0.0747,0.74%,0.79%,11.22%,-1.07%,DUK
27959,20140715,252,0.68%,-0.0001,0.4323,-0.3686,-0.0854,0.74%,0.79%,11.61%,0.57%,DUK
27959,20140716,252,0.54%,-0.0001,0.4308,-0.3682,-0.0822,0.74%,0.79%,11.58%,0.20%,DUK
27959,20140717,252,-0.08%,-0.0001,0.4268,-0.3679,-0.0828,0.74%,0.79%,11.50%,0.31%,DUK
27959,20140718,252,1.04%,-0.0001,0.4298,-0.3737,-0.1112,0.74%,0.79%,11.72%,0.70%,DUK
27959,20140721,252,0.34%,0,0.4294,-0.3738,-0.1068,0.74%,0.79%,11.70%,0.37%,DUK
27959,20140722,252,-0.10%,0,0.4288,-0.3725,-0.1018,0.74%,0.79%,11.67%,-0.26%,DUK
27959,20140723,252,0.15%,-0.0001,0.4313,-0.3796,-0.1142,0.74%,0.79%,11.88%,0.04%,DUK
27959,20140724,252,0.86%,0,0.4286,-0.3918,-0.1325,0.74%,0.78%,11.92%,0.73%,DUK
27959,20140725,252,-1.11%,-0.0001,0.4328,-0.3903,-0.1327,0.74%,0.79%,12.03%,-1.01%,DUK
27959,20140728,252,1.61%,0,0.4349,-0.4006,-0.1264,0.74%,0.79%,11.96%,1.50%,DUK
27959,20140729,252,-0.55%,0,0.4385,-0.3976,-0.1127,0.74%,0.79%,12.19%,-0.21%,DUK
27959,20140730,252,-1.26%,-0.0001,0.4416,-0.4046,-0.0988,0.75%,0.80%,12.27%,-1.17%,DUK
27959,20140731,252,-1.26%,-0.0001,0.4488,-0.4066,-0.0999,0.75%,0.80%,13.07%,-0.40%,DUK
27959,20140801,252,1.12%,-0.0001,0.4438,-0.4094,-0.1065,0.75%,0.80%,12.60%,1.18%,DUK
27959,20140804,252,-1.01%,-0.0001,0.4346,-0.399,-0.0914,0.75%,0.80%,12.02%,-1.36%,DUK
27959,20140805,252,-1.69%,-0.0001,0.4472,-0.4186,-0.0949,0.76%,0.81%,12.86%,-1.03%,DUK
27959,20140806,252,-1.61%,-0.0002,0.4499,-0.437,-0.1133,0.76%,0.82%,12.98%,-1.44%,DUK
27959,20140807,252,1.09%,-0.0001,0.4422,-0.4362,-0.1217,0.77%,0.82%,12.56%,1.29%,DUK
27959,20140808,252,1.63%,-0.0001,0.4538,-0.4495,-0.1314,0.77%,0.83%,13.25%,1.02%,DUK
27959,20140811,252,-0.24%,-0.0001,0.4518,-0.45,-0.1341,0.77%,0.82%,13.17%,-0.19%,DUK
27959,20140812,252,-0.28%,-0.0001,0.4526,-0.4494,-0.1349,0.77%,0.82%,13.16%,-0.41%,DUK
27959,20140813,252,0.48%,-0.0001,0.4537,-0.4515,-0.137,0.77%,0.83%,13.27%,0.10%,DUK
27959,20140814,252,1.62%,0,0.4534,-0.4485,-0.124,0.77%,0.83%,13.14%,1.32%,DUK
27959,20140815,252,0.01%,0,0.4391,-0.4436,-0.117,0.77%,0.82%,12.43%,-0.07%,DUK
27959,20140818,252,0.00%,0.0001,0.4342,-0.4389,-0.1103,0.76%,0.82%,12.27%,-0.17%,DUK
27959,20140819,252,1.10%,0.0001,0.4312,-0.4549,-0.1489,0.76%,0.82%,12.38%,0.82%,DUK
27959,20140820,252,-0.16%,0.0001,0.429,-0.4663,-0.165,0.76%,0.81%,12.47%,-0.50%,DUK
27959,20140821,252,0.38%,0.0002,0.4207,-0.4674,-0.1791,0.76%,0.81%,12.28%,0.33%,DUK
27959,20140822,252,-0.23%,0.0002,0.421,-0.4683,-0.1782,0.76%,0.81%,12.31%,-0.11%,DUK
27959,20140825,252,0.15%,0.0001,0.4187,-0.4642,-0.175,0.76%,0.81%,12.18%,-0.16%,DUK
27959,20140826,252,-0.90%,0.0001,0.4168,-0.4688,-0.1812,0.76%,0.81%,12.13%,-0.71%,DUK
27959,20140827,252,0.84%,0.0001,0.4236,-0.4654,-0.1674,0.76%,0.81%,12.23%,0.76%,DUK
27959,20140828,252,0.52%,0.0002,0.423,-0.469,-0.1698,0.76%,0.81%,12.24%,0.42%,DUK
27959,20140829,252,0.93%,0.0002,0.4233,-0.457,-0.1653,0.76%,0.81%,12.05%,0.91%,DUK
27959,20140902,252,-0.73%,0.0002,0.425,-0.4769,-0.1802,0.76%,0.81%,12.32%,-0.56%,DUK
27959,20140903,252,0.56%,0.0003,0.4297,-0.478,-0.17,0.76%,0.81%,12.58%,0.41%,DUK
27959,20140904,252,0.22%,0.0003,0.4355,-0.4839,-0.1764,0.76%,0.81%,12.87%,0.19%,DUK
27959,20140905,252,1.19%,0.0003,0.4395,-0.4935,-0.1856,0.76%,0.81%,13.13%,0.86%,DUK
27959,20140908,252,-0.01%,0.0003,0.4391,-0.4936,-0.1889,0.76%,0.81%,13.25%,0.26%,DUK
27959,20140909,252,-1.47%,0.0002,0.4488,-0.4843,-0.1774,0.76%,0.82%,13.34%,-1.36%,DUK
27959,20140910,252,-0.54%,0.0002,0.4454,-0.4826,-0.1698,0.76%,0.82%,13.11%,-0.71%,DUK
27959,20140911,252,1.46%,0.0003,0.4477,-0.4644,-0.1434,0.76%,0.82%,12.90%,1.64%,DUK
27959,20140912,252,-1.88%,0.0002,0.4547,-0.4696,-0.1584,0.77%,0.83%,13.05%,-1.72%,DUK
27959,20140915,252,0.52%,0.0002,0.4546,-0.4773,-0.1584,0.77%,0.83%,13.21%,0.25%,DUK
27959,20140916,252,1.24%,0.0002,0.4579,-0.4852,-0.1697,0.77%,0.83%,13.47%,0.71%,DUK
27959,20140917,252,-0.07%,0.0002,0.4575,-0.4865,-0.1689,0.77%,0.83%,13.47%,-0.14%,DUK
27959,20140918,252,-1.10%,0.0001,0.4278,-0.4475,-0.1208,0.76%,0.81%,11.94%,-1.32%,DUK
27959,20140919,252,1.22%,0.0001,0.4288,-0.4672,-0.1387,0.76%,0.82%,12.21%,0.88%,DUK
27959,20140922,252,-0.69%,0.0001,0.43,-0.4572,-0.1299,0.76%,0.81%,11.96%,-0.52%,DUK
27959,20140923,252,-0.27%,0.0001,0.4389,-0.464,-0.1172,0.76%,0.81%,12.36%,-0.15%,DUK
27959,20140924,252,0.05%,0.0001,0.438,-0.4618,-0.1051,0.76%,0.81%,12.30%,-0.37%,DUK
27959,20140925,252,0.34%,0.0001,0.4173,-0.4402,-0.0871,0.77%,0.81%,11.54%,1.10%,DUK
27959,20140926,252,0.16%,0.0001,0.4151,-0.435,-0.0722,0.76%,0.81%,11.47%,-0.23%,DUK
27959,20140929,252,0.15%,0.0002,0.4091,-0.4326,-0.0781,0.76%,0.81%,11.28%,0.28%,DUK
27959,20140930,252,0.78%,0.0002,0.4113,-0.4464,-0.0858,0.76%,0.81%,11.40%,0.52%,DUK
27959,20141001,252,0.71%,0.0002,0.3915,-0.4369,-0.0757,0.77%,0.81%,10.67%,1.24%,DUK
27959,20141002,252,-0.41%,0.0002,0.3919,-0.4399,-0.0772,0.77%,0.81%,10.80%,-0.06%,DUK
27959,20141003,252,0.24%,0.0003,0.378,-0.4277,-0.0639,0.76%,0.81%,10.37%,-0.38%,DUK
27959,20141006,252,-0.13%,0.0003,0.3787,-0.4241,-0.0645,0.76%,0.81%,10.33%,-0.34%,DUK
27959,20141007,252,0.19%,0.0003,0.3685,-0.4184,-0.0628,0.76%,0.81%,10.02%,0.73%,DUK
27959,20141008,252,2.45%,0.0003,0.4137,-0.4459,-0.1033,0.77%,0.82%,12.04%,1.83%,DUK
27959,20141009,252,-0.86%,0.0002,0.4173,-0.4452,-0.1046,0.77%,0.82%,12.45%,-0.19%,DUK
27959,20141010,252,0.58%,0.0003,0.3992,-0.4298,-0.0833,0.77%,0.82%,11.33%,1.11%,DUK
27959,20141013,252,0.75%,0.0004,0.359,-0.3555,-0.019,0.78%,0.82%,9.60%,2.00%,DUK
27959,20141014,252,1.89%,0.0005,0.3574,-0.3181,-0.0005,0.79%,0.82%,8.97%,2.09%,DUK
27959,20141015,252,0.04%,0.0006,0.3408,-0.3021,-0.0269,0.78%,0.82%,8.47%,0.81%,DUK
27959,20141016,252,-0.93%,0.0005,0.3266,-0.3111,-0.051,0.78%,0.82%,7.97%,-0.67%,DUK
27959,20141017,252,0.33%,0.0004,0.3137,-0.2925,-0.0408,0.78%,0.81%,7.70%,-0.53%,DUK
27959,20141020,252,1.36%,0.0005,0.3195,-0.2961,-0.052,0.78%,0.82%,7.91%,1.12%,DUK
27959,20141021,252,-0.53%,0.0004,0.2955,-0.2801,-0.0541,0.79%,0.82%,7.10%,-1.28%,DUK
27959,20141022,252,1.37%,0.0005,0.2815,-0.2812,-0.0557,0.79%,0.82%,6.61%,1.47%,DUK
27959,20141023,252,-0.11%,0.0004,0.2844,-0.283,-0.0411,0.79%,0.82%,6.77%,-0.35%,DUK
27959,20141024,252,0.29%,0.0004,0.2841,-0.2815,-0.0415,0.79%,0.82%,6.80%,-0.04%,DUK
27959,20141027,252,0.39%,0.0004,0.2801,-0.277,-0.0454,0.79%,0.81%,6.62%,0.46%,DUK
27959,20141028,252,0.14%,0.0004,0.2811,-0.273,-0.0418,0.79%,0.81%,6.61%,0.19%,DUK
27959,20141029,252,-0.56%,0.0004,0.2812,-0.2757,-0.0502,0.79%,0.81%,6.62%,-0.50%,DUK
27959,20141030,252,2.52%,0.0005,0.2852,-0.2857,-0.0767,0.80%,0.83%,6.69%,2.40%,DUK
27959,20141031,252,-0.17%,0.0005,0.2789,-0.29,-0.0911,0.80%,0.83%,6.57%,-0.43%,DUK
27959,20141103,252,0.28%,0.0005,0.2759,-0.2828,-0.0932,0.80%,0.82%,6.40%,0.20%,DUK
27959,20141104,252,-0.18%,0.0005,0.2765,-0.2824,-0.0917,0.80%,0.82%,6.41%,-0.10%,DUK
27959,20141105,252,1.54%,0.0005,0.2855,-0.2827,-0.0553,0.80%,0.83%,6.65%,1.34%,DUK
27959,20141106,252,-2.79%,0.0004,0.2756,-0.2598,-0.0083,0.82%,0.85%,5.80%,-2.93%,DUK
27959,20141107,252,1.12%,0.0004,0.2755,-0.2529,0.0118,0.82%,0.85%,5.66%,1.10%,DUK
27959,20141110,252,0.89%,0.0005,0.2876,-0.2429,0.0275,0.82%,0.85%,5.93%,0.85%,DUK
27959,20141111,252,-0.18%,0.0005,0.2877,-0.2422,0.0299,0.82%,0.85%,5.93%,-0.20%,DUK
27959,20141112,252,-2.44%,0.0004,0.2898,-0.2696,0.0113,0.83%,0.86%,6.10%,-2.26%,DUK
27959,20141113,252,-1.08%,0.0004,0.2906,-0.2432,0.041,0.84%,0.86%,5.84%,-1.31%,DUK
27959,20141114,252,0.15%,0.0004,0.2877,-0.2393,0.0378,0.84%,0.86%,5.69%,0.09%,DUK
27959,20141117,252,1.50%,0.0004,0.2902,-0.2559,0.0391,0.84%,0.87%,5.91%,1.27%,DUK
27959,20141118,252,0.01%,0.0004,0.2889,-0.2556,0.0456,0.84%,0.87%,5.89%,-0.11%,DUK
27959,20141119,252,0.09%,0.0004,0.2879,-0.2543,0.0509,0.84%,0.87%,5.89%,-0.09%,DUK
27959,20141120,252,-0.26%,0.0005,0.2821,-0.2477,0.0541,0.84%,0.86%,5.72%,-0.13%,DUK
27959,20141121,252,-0.50%,0.0004,0.2732,-0.2519,0.0481,0.83%,0.86%,5.54%,-0.73%,DUK
27959,20141124,252,-0.93%,0.0004,0.2727,-0.2602,0.053,0.84%,0.86%,5.63%,-0.77%,DUK
27959,20141125,252,0.15%,0.0004,0.2722,-0.2589,0.0544,0.84%,0.86%,5.61%,0.19%,DUK
27959,20141126,252,0.68%,0.0005,0.2711,-0.2555,0.0416,0.84%,0.86%,5.47%,0.65%,DUK
27959,20141128,252,1.52%,0.0005,0.2663,-0.2862,-0.0232,0.84%,0.86%,5.57%,1.42%,DUK
27959,20141201,252,1.36%,0.0006,0.2607,-0.2947,-0.011,0.84%,0.87%,5.51%,1.34%,DUK
27959,20141202,252,0.41%,0.0006,0.2619,-0.3029,-0.0116,0.84%,0.87%,5.66%,0.37%,DUK
27959,20141203,252,-0.45%,0.0006,0.2612,-0.308,-0.0195,0.84%,0.87%,5.69%,-0.43%,DUK
27959,20141204,252,0.46%,0.0006,0.2608,-0.3092,-0.0206,0.84%,0.87%,5.69%,0.41%,DUK
27959,20141205,252,-1.97%,0.0005,0.2581,-0.3315,-0.054,0.85%,0.88%,5.77%,-1.85%,DUK
27959,20141208,252,1.11%,0.0005,0.2475,-0.3337,-0.0561,0.85%,0.88%,5.50%,1.15%,DUK
27959,20141209,252,0.67%,0.0006,0.2437,-0.3075,-0.0446,0.85%,0.88%,5.14%,1.20%,DUK
27959,20141210,252,0.09%,0.0007,0.2392,-0.314,-0.0455,0.85%,0.88%,5.19%,0.31%,DUK
27959,20141211,252,0.78%,0.0008,0.2291,-0.3176,-0.0537,0.85%,0.87%,5.05%,0.62%,DUK
27959,20141212,252,-0.24%,0.0008,0.2261,-0.3153,-0.0555,0.85%,0.87%,5.06%,0.24%,DUK
27959,20141215,252,-1.87%,0.0007,0.236,-0.3137,-0.0553,0.86%,0.88%,5.15%,-1.80%,DUK
27959,20141216,252,-0.64%,0.0007,0.2367,-0.3223,-0.064,0.86%,0.88%,5.38%,-0.23%,DUK
27959,20141217,252,0.93%,0.0007,0.2454,-0.3171,-0.0577,0.86%,0.88%,5.51%,0.69%,DUK
27959,20141218,252,2.02%,0.0007,0.2489,-0.3254,-0.0695,0.86%,0.88%,5.96%,1.15%,DUK
27959,20141219,252,-0.19%,0.0007,0.2479,-0.3302,-0.0688,0.86%,0.88%,6.04%,-0.36%,DUK
27959,20141222,252,0.92%,0.0007,0.2488,-0.3389,-0.0701,0.86%,0.88%,6.16%,0.89%,DUK
27959,20141223,252,0.08%,0.0007,0.2508,-0.3341,-0.0676,0.85%,0.88%,6.15%,0.01%,DUK
27959,20141224,252,1.54%,0.0008,0.2483,-0.3271,-0.0722,0.86%,0.89%,5.91%,1.63%,DUK
27959,20141226,252,0.99%,0.0008,0.2523,-0.3332,-0.0899,0.86%,0.89%,6.09%,0.99%,DUK
27959,20141229,252,1.19%,0.0009,0.2542,-0.3238,-0.0661,0.86%,0.89%,5.96%,1.26%,DUK
27959,20141230,252,-2.45%,0.0008,0.2629,-0.3373,-0.091,0.88%,0.90%,6.23%,-2.29%,DUK
27959,20141231,252,-1.37%,0.0007,0.2751,-0.3462,-0.0787,0.88%,0.91%,6.71%,-1.00%,DUK
27959,20150102,252,0.61%,0.0008,0.2677,-0.3495,-0.0783,0.87%,0.90%,6.60%,0.44%,DUK
27959,20150105,252,-1.44%,0.0008,0.2835,-0.3518,-0.0558,0.88%,0.91%,7.20%,-0.88%,DUK
27959,20150106,252,1.64%,0.0008,0.2726,-0.3709,-0.0821,0.88%,0.91%,7.11%,1.64%,DUK
27959,20150107,252,0.32%,0.0008,0.2702,-0.3717,-0.0763,0.88%,0.91%,7.12%,0.01%,DUK
27959,20150108,252,0.40%,0.0008,0.2668,-0.37,-0.0778,0.88%,0.91%,7.16%,-0.15%,DUK
27959,20150109,252,0.14%,0.0009,0.2649,-0.3703,-0.0822,0.88%,0.91%,7.13%,0.33%,DUK
27959,20150112,252,0.09%,0.0008,0.2636,-0.3704,-0.064,0.88%,0.91%,7.20%,0.41%,DUK
27959,20150113,252,0.54%,0.0009,0.2528,-0.3633,-0.061,0.88%,0.91%,6.78%,0.70%,DUK
27959,20150114,252,0.26%,0.0009,0.2548,-0.3638,-0.0711,0.87%,0.91%,6.84%,0.48%,DUK
27959,20150115,252,1.25%,0.001,0.252,-0.3674,-0.0517,0.88%,0.91%,6.85%,1.22%,DUK
27959,20150116,252,0.68%,0.001,0.2563,-0.3658,-0.0443,0.88%,0.91%,6.95%,0.50%,DUK
27959,20150120,252,0.39%,0.001,0.2574,-0.3664,-0.0444,0.88%,0.91%,7.01%,0.09%,DUK
27959,20150121,252,1.13%,0.001,0.2599,-0.3825,-0.0444,0.87%,0.91%,7.51%,0.69%,DUK
27959,20150122,252,-0.06%,0.0009,0.2559,-0.3866,-0.0538,0.87%,0.91%,7.47%,-0.28%,DUK
27959,20150123,252,0.10%,0.001,0.254,-0.3856,-0.0597,0.87%,0.91%,7.39%,0.38%,DUK
27959,20150126,252,-0.19%,0.001,0.2527,-0.387,-0.0606,0.87%,0.91%,7.31%,-0.09%,DUK
27959,20150127,252,0.19%,0.001,0.2468,-0.3731,-0.0554,0.87%,0.91%,7.05%,0.77%,DUK
27959,20150128,252,-0.98%,0.0009,0.2564,-0.3698,-0.0337,0.87%,0.91%,7.30%,-0.71%,DUK
27959,20150129,252,1.72%,0.001,0.2674,-0.3662,-0.0282,0.88%,0.91%,7.45%,1.56%,DUK
27959,20150130,252,-2.48%,0.0008,0.2803,-0.3457,-0.0041,0.89%,0.93%,7.31%,-2.42%,DUK
27959,20150202,252,-0.16%,0.0008,0.2784,-0.3432,-0.0128,0.89%,0.92%,7.29%,-0.67%,DUK
27959,20150203,252,-0.25%,0.0007,0.2729,-0.3453,-0.0245,0.89%,0.92%,7.09%,-0.60%,DUK
27959,20150204,252,-0.92%,0.0007,0.2811,-0.3461,-0.0189,0.89%,0.92%,7.34%,-0.86%,DUK
27959,20150205,252,0.86%,0.0008,0.2847,-0.3475,-0.0164,0.89%,0.93%,7.47%,0.72%,DUK
27959,20150206,252,-4.16%,0.0006,0.2926,-0.3696,-0.0668,0.93%,0.96%,7.26%,-4.08%,DUK
27959,20150209,252,-0.49%,0.0006,0.2997,-0.374,-0.0778,0.93%,0.96%,7.41%,-0.49%,DUK
27959,20150210,252,1.79%,0.0006,0.309,-0.3875,-0.0922,0.93%,0.97%,7.92%,1.31%,DUK
27959,20150211,252,-1.82%,0.0005,0.3068,-0.3793,-0.0746,0.94%,0.97%,7.59%,-1.90%,DUK
27959,20150212,252,-0.97%,0.0005,0.2987,-0.3812,-0.0758,0.94%,0.98%,7.38%,-1.22%,DUK
27959,20150213,252,-1.51%,0.0004,0.2925,-0.3887,-0.0694,0.94%,0.98%,7.29%,-1.60%,DUK
27959,20150217,252,-0.56%,0.0003,0.293,-0.3891,-0.0663,0.94%,0.98%,7.29%,-0.63%,DUK
27959,20150218,252,1.99%,0.0004,0.2898,-0.3961,-0.1089,0.95%,0.99%,7.12%,2.04%,DUK
27959,20150219,252,-2.22%,0.0003,0.2954,-0.3978,-0.0821,0.96%,1.00%,7.17%,-2.16%,DUK
27959,20150220,252,-0.58%,0.0003,0.2908,-0.3887,-0.0723,0.96%,1.00%,6.95%,-0.95%,DUK
27959,20150223,252,0.70%,0.0003,0.2893,-0.3884,-0.0787,0.97%,1.00%,6.87%,0.71%,DUK
27959,20150224,252,0.74%,0.0004,0.2939,-0.3821,-0.0573,0.97%,1.00%,6.92%,0.69%,DUK
27959,20150225,252,-1.05%,0.0003,0.2951,-0.3826,-0.0468,0.97%,1.00%,6.95%,-1.00%,DUK
27959,20150226,252,-0.57%,0.0003,0.2962,-0.3847,-0.0434,0.97%,1.00%,7.02%,-0.33%,DUK
27959,20150227,252,-0.01%,0.0003,0.2987,-0.3831,-0.0411,0.97%,1.00%,7.08%,0.02%,DUK
27959,20150302,252,-1.90%,0.0003,0.2913,-0.3808,-0.0276,0.97%,1.01%,6.77%,-2.01%,DUK
